https://iupac.qmul.ac.uk/AtWt/,,,
AtNo,Symbol,Name,AtomicWt
1,H,Hydrogen,1.008
2,He,Helium,4.002602
3,Li,Lithium,6.94
4,Be,Beryllium,9.0121831
5,B,Boron,10.81
6,C,Carbon,12.011
7,N,Nitrogen,14.007
8,O,Oxygen,15.999
9,F,Fluorine,18.998403163
10,Ne,Neon,20.1797
11,Na,Sodium,22.98976928
12,Mg,Magnesium,24.305
13,Al,Aluminium,26.9815384
14,Si,Silicon,28.085
15,P,Phosphorus,30.973761998
16,S,Sulfur,32.06
17,Cl,Chlorine,35.45
18,Ar,Argon,39.95
19,K,Potassium,39.0983
20,Ca,Calcium,40.078
21,Sc,Scandium,44.955907
22,Ti,Titanium,47.867
23,V,Vanadium,50.9415
24,Cr,Chromium,51.9961
25,Mn,Manganese,54.9380432
26,Fe,Iron,55.8452
27,Co,Cobalt,58.9331943
28,Ni,Nickel,58.6934
29,Cu,Copper,63.5463
30,Zn,Zinc,65.382
31,Ga,Gallium,69.7231
32,Ge,Germanium,72.6308
33,As,Arsenic,74.9215956
34,Se,Selenium,78.9718
35,Br,Bromine,79.904
36,Kr,Krypton,83.7982
37,Rb,Rubidium,85.46783
38,Sr,Strontium,87.621
39,Y,Yttrium,88.9058382
40,Zr,Zirconium,91.2242
41,Nb,Niobium,92.90637
42,Mo,Molybdenum,95.951
43,Tc,Technetium,97
44,Ru,Ruthenium,101.072
45,Rh,Rhodium,102.90549
46,Pd,Palladium,106.421
47,Ag,Silver,107.8682
48,Cd,Cadmium,112.4144
49,In,Indium,114.8181
50,Sn,Tin,118.7107
51,Sb,Antimony,121.7601
52,Te,Tellurium,127.603
53,I,Iodine,126.90447
54,Xe,Xenon,131.2936
55,Cs,Caesium,132.90545196
56,Ba,Barium,137.3277
57,La,Lanthanum,138.90547
58,Ce,Cerium,140.1161
59,Pr,Praseodymium,140.90766
60,Nd,Neodymium,144.2423
61,Pm,Promethium,145
62,Sm,Samarium,150.362
63,Eu,Europium,151.9641
64,Gd,Gadolinium,157.253
65,Tb,Terbium,158.9253547
66,Dy,Dysprosium,162.5001
67,Ho,Holmium,164.9303295
68,Er,Erbium,167.2593
69,Tm,Thulium,168.9342195
70,Yb,Ytterbium,173.0451
71,Lu,Lutetium,174.96681
72,Hf,Hafnium,178.4866
73,Ta,Tantalum,180.94788
74,W,Tungsten,183.841
75,Re,Rhenium,186.2071
76,Os,Osmium,190.233
77,Ir,Iridium,192.2172
78,Pt,Platinum,195.0849
79,Au,Gold,196.9665704
80,Hg,Mercury,200.5923
81,Tl,Thallium,204.38
82,Pb,Lead,207.21
83,Bi,Bismuth,208.9804
84,Po,Polonium,209
85,At,Astatine,210
86,Rn,Radon,222
87,Fr,Francium,223
88,Ra,Radium,226
89,Ac,Actinium,227
90,Th,Thorium,232.03774
91,Pa,Protactinium,231.03588
92,U,Uranium,238.02891
93,Np,Neptunium,237
94,Pu,Plutonium,244
95,Am,Americium,243
96,Cm,Curium,247
97,Bk,Berkelium,247
98,Cf,Californium,251
99,Es,Einsteinium,252
100,Fm,Fermium,257
101,Md,Mendelevium,258
102,No,Nobelium,259
103,Lr,Lawrencium,262
104,Rf,Rutherfordium,267
105,Db,Dubnium,270
106,Sg,Seaborgium,269
107,Bh,Bohrium,270
108,Hs,Hassium,270
109,Mt,Meitnerium,278
110,Ds,Darmstadtium,281
111,Rg,Roentgenium,281
112,Cn,Copernicium,285
113,Nh,Nihonium,286
114,Fl,Flerovium,289
115,Mc,Moscovium,289
116,Lv,Livermorium,293
117,Ts,Tennessine,293
118,Og,Oganesson,294
